Consumers surplus for year,Unnamed: 1,Unnamed: 2,Unnamed: 3,2035,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
scenario,Opening year,CS_passenger,CS_CarD,CS_CarP,CS_Air,CS_Rail,CS_freight,CS_freight_Truck,CS_freight_Rail,CS_freight_IWW
01,2030,25814638.62667022,3292020.0859306133,779110.8442689595,523558.6255618242,21219949.070909686,43975545.48422982,41181338.986357294,2794206.497872526,0
02,2026,35989223.74518758,874796.5110422858,9256946.24124534,474148.15689914906,25383332.83600079,346361.5068205734,0,346361.5068205734,0
03,2028,28491754.148345042,25427347.109595947,-4651241.102584025,1534941.8260745055,6180706.315258242,64500019.57698663,64507209.15568537,-7189.578698740825,0
04,2026,12321236.73,18800697.41,-10653149.54,830984.5852,3342704.27,12232478.56,12201237.68,31240.88058,0
05,2027,92462354.2948104,41582638.54105434,9523842.374078788,2780312.552395086,38575560.8272834,12146614.341506325,11835689.291371956,310925.0501343676,0
06,2029,380888794.2374118,251561445.6327354,102120764.38762905,1673009.3046236145,25533574.91241923,16361880.025272807,13158877.294235691,3203002.7310371157,0
07,2026,16376221.770420635,-8352863.826936794,8436954.040893272,2642290.2489123857,13649841.307552982,2041798.9605998353,0,2041798.9605998353,0
08,2027,32671111.55270021,11078106.418644898,5293693.504730837,1487545.9812878063,14811765.648036802,342465.87430443463,0,342465.87430443463,0
09,2030,806707498.5116479,229531283.05800012,107801957.65802087,9569089.955563487,459805167.84007096,162446223.27294248,0,162446223.27294248,0
10,2028,286344809.97056115,138850247.34472758,48792285.67272369,3049162.8902225024,95653114.06288904,183071755.2471,65226931.2678,117844823.9793,0
11,2028,140240065.44321737,98022962.22083639,22920118.177196827,-376642.74436553614,19673627.78955329,145639443.82703716,91542938.92963453,54096504.89740264,0
12,2027,36250560.77048781,5327724.848613297,10082210.101587515,361984.4937755874,20478641.326512128,62457048.10786174,35941453.51714137,26515594.59072037,0
13,2026,27000734.65695652,14593104.859931732,-1147100.2220834577,1137161.1970985732,12417568.822010934,2794206.497872526,0,2794206.497872526,0
14,2027,57227569.54954095,-2400919.9083885006,-11566816.988173412,7157099.425396405,64038207.02070618,36832502.35622881,-5395036.144111469,42227538.50034028,0
15,2027,111251333.54844669,36128921.24105461,3885548.1617436726,10084066.703435754,61152797.44221532,260811700.72912386,99676380.11234808,161135320.61677578,0
16,2028,31295837.178004634,17677532.79939342,7315689.280014359,1086287.4748685202,5216327.623728212,416020.151400883,0,416020.151400883,0
17,2027,18260970.480170414,11938867.894754233,3977513.715843326,1545219.6903676358,799369.1792040743,1387938.362401733,0,1387938.362401733,0
18,2029,100902583.83743495,-2604051.594519543,332222.0683820908,1076177.2223307032,102098236.14124304,49153274.317915216,41883980.13032189,7269294.187593323,0
19,2026,38326681.538035624,15194979.988072077,-9255131.196310926,860433.3624759389,31526399.38379888,15557413.825063325,3618021.2510393783,11939392.574023947,0
20,2027,67568116.01808558,38349040.116961606,3310327.9234758816,1475435.0537333172,24433312.923913345,26603746.01335349,22160113.301455893,4443632.711897596,0
21,2027,156419852.69320175,55571259.58934245,29590106.16976335,1230879.8323442405,70027607.10175233,343208033.9466764,218044849.4866132,125163184.46006319,0
22,2028,36230828.430165246,22710529.03037076,6437491.659896164,1656655.4038233513,5426152.336074066,-26444395.902903613,-26525364.547060974,80968.64415736025,0
23,2027,97804397.77798165,62362512.912859134,19792752.245673195,2499620.925399121,13149511.694050808,-15213040.136997256,-14972957.096961938,-240083.04003531946,0
24,2026,738954111.6324153,608056861.76837,129722496.99149759,1910374.4643295738,-735621.5917604374,45620461.81284969,45846899.98037466,-226438.16752496533,0
25,2027,34385255.983626634,19728608.319590285,11149208.939752238,387612.49841142714,3119826.2258719425,53884659.79451505,54088381.02433539,-203721.2298203416,0
26,2026,48859707.29794113,32828692.23037451,15323137.034496019,256622.9876957594,451255.0453746985,88329927.70598017,87573171.42517775,756756.2808024153,0
27,2026,12724941.981959091,7773956.249330651,3754230.7757279864,843448.4885068508,353306.4683950646,-35202863.34396205,-35275171.28684184,72307.94287978602,0
28,2027,82253171.67263827,61644188.385005176,17017522.432959046,291707.85179879266,3299753.00287518,-31966913.09219186,-121207365.3168869,89240452.22469504,0
29,2028,66696025.34527442,42956612.19129424,22664759.63917733,786933.8696331842,287719.645170307,112787572.04888579,111506325.80211604,1281246.2467697538,0
30,2027,97765215.68611644,44783100.6933573,11102669.030060966,1229509.6152386647,40649936.34746231,140774941.49812838,133452425.78557338,7322515.712555008,0
31,2027,154505857.0545777,113953378.35106367,35479994.627016895,1226419.9747293787,3846064.101766647,238156626.09982288,163460004.20972082,74696621.89010204,0
32,2028,272273956.9105025,107544981.69379479,32832161.54600014,1646297.0746090356,130250516.59610237,55780608.74022211,28141847.52483964,27638761.215382468,0
33,2026,20480398.61726127,21379157.29228485,-227815.4950646496,242297.14630543411,-913240.3262645245,-295615.5489651833,-387744.1083699763,92128.55940479298,0
34,2027,23342310.996293895,18505632.362711467,4565857.7163992515,869793.7297676158,-598972.8125845275,18830249.32764069,18639701.46671255,190547.8609281417,0
35,2026,37536934.4753078,-11066339.39332932,-206419.30386557966,51564613.2510774,-2754920.0785745895,0,0,0,0
36,2028,13987887.531579144,1804712.670972744,9426554.10992066,1749114.5708053266,1007506.1798808442,18428154.16100681,0,0,18428154.16100681
