Scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
0,AL,2198066587.671428,543756939.4725611,777221203.0855696,,126971036.17035067,595578509.5013859
0,AT,43085971023.27611,27049782272.840927,6885318710.463552,7106424795.91878,15860344442.663074,24759775096.954556
0,BA,5027797169.3712435,1233582153.802449,843493599.8665248,738717753.0622419,599998370.6221037,1208454192.1584556
0,BE,42897807442.405876,32553789751.05078,8407811728.968095,9588655720.363098,14152909321.1538,9815037090.858082
0,BG,27971419042.076496,6835117288.587932,3840698194.0361414,2100634486.881437,17009960396.463802,23009822898.2545
0,BY,19233008883.042603,4636389728.173427,10435219921.683098,,7711612313.594567,26951465733.48854
0,CH,39946537085.13604,5712937149.494857,3643506648.7169757,38941402.011262625,11678970821.27878,11557304284.868198
0,CZ,31730503340.74097,6890501850.293428,8547687987.947722,45302166.10207941,9360773303.648882,35367292148.76261
0,DE,380009608562.98724,88671910288.50252,46527679505.88631,75684748122.82649,114899674414.39136,110110371258.83928
0,DK,37244766876.601166,3865846674.6070766,7242730556.352523,,6384748372.432586,3395010484.1285467
0,EE,3356648931.429575,609642916.0516095,1819968540.5464718,,290241631.5746625,30995576388.341362
0,ES,176105762544.49094,94465085669.09677,48189132687.785774,,29510204596.45464,24316357539.46703
0,FI,29660485877.611755,4329604264.047342,5653968810.748085,,7655092176.421986,22105140771.235615
0,FR,245352921892.30872,167729499075.3691,44047509615.94867,12023247333.993101,95137533292.27129,55777392152.298256
0,GR,27384386347.525627,6779242622.176363,6284560548.805021,,2931596326.315178,1428385096.7106311
0,HR,22445419305.389202,5576919616.015357,2670384436.332178,311895128.19924515,9156131179.362217,7506877549.289495
0,HU,29563781303.234493,6074378919.509476,5396885515.865595,11182448778.462492,15426045378.577965,23852046253.319798
0,IE,27587363106.61216,4773782727.076413,4870776480.930233,,1939275352.049023,655379161.1578757
0,IT,211596441984.63425,55783952589.47352,36794525169.738304,,51018835009.88342,35835678625.47822
0,LI,79960872.22749442,23695145.256654248,17673163.12165688,,13065986.804047443,27023258.91354944
0,LT,8541370664.567821,2035272761.8680837,4647743251.0086975,1945882.943965785,13133661829.016092,36824130330.317924
0,LU,5550919725.788592,2630558671.8911567,903457691.47491,,158397219.43667242,574870310.1890986
0,LV,7229481949.10994,1438646966.3008785,2599006571.5768313,3057704.2583619663,8056356933.809065,50294595757.67966
0,MD,5605122953.696965,1383321121.9694176,1618291931.79214,,1412250401.8533008,3462909677.778198
0,ME,1515772532.8521206,374882579.9271289,189442826.95534262,,135159230.64214832,1899399711.6337183
0,MK,4799690842.991739,1188801674.555541,1354947359.2635972,,733830160.600771,414917952.8497936
0,NL,95300016066.83664,19265209296.230846,10286574412.33149,39737084736.614586,12558822564.743479,6571852761.584977
0,NO,40194211089.467354,9403871463.961695,3860302535.470343,,4528023915.399492,4756462457.611217
0,PL,96095814000.71112,18900619149.38709,30156034407.713264,883070320.0296192,53870261562.804535,131673237464.73344
0,PT,37367256348.501015,9777746558.201992,6717896614.659942,,4717636802.5048485,4654175808.429148
0,RO,38572847079.541885,9424124357.602917,13976914293.393774,21604111222.08911,11339483896.935127,57844965226.12613
0,RU,158107680576.0568,38793216185.95758,90632809279.26723,,105348240254.05782,232852791560.093
0,SE,57554852548.03768,4488326451.251143,8431172179.064832,,17913194334.0507,35584287482.43065
0,SI,11790024713.383091,3085947061.64404,2334983760.8450103,,5738166068.174572,9988556230.736485
0,SK,12780130581.962334,3096643950.312096,4069192401.5839586,706201278.8552674,2520588074.4070473,23498612920.5924
0,TR,114109529095.8863,27980098824.071457,11229697802.922588,,50477638654.22421,13378092439.373325
0,UA,74014816516.39716,18038035609.719807,22515409331.99395,,35592575321.05814,77262588010.71716
0,UK,330507753205.0464,75070056793.75853,26289449495.794144,326382649.27730197,48531516568.62689,37357668506.37597
0,YU,20537373837.89968,5018813425.98969,2144024091.626464,13212523344.908693,20572184090.802483,9339879397.161602
