Scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
1,AL,2194630536.953873,542904011.9853477,777367289.418912,,129195611.32275227,595632049.0465822
1,AT,43061070428.324615,27041060706.320957,6901511115.96742,7111436472.561055,15988799680.747946,24846053487.774426
1,BA,5018689067.225597,1231464153.3991432,843954506.6634551,742887819.3557366,596162947.8059529,1210090504.478257
1,BE,42890232610.414215,32554207429.578415,8413137418.806103,9585723039.434347,14194190505.222197,9811800423.780033
1,BG,27971831409.889668,6836113900.139414,3842363238.665764,2101981939.3220313,17015140757.234745,23019947717.119377
1,BY,19217263807.03647,4632463608.200691,10407867840.844053,,7627113649.018879,27050323797.16957
1,CH,39944687065.83025,5713500252.374129,3643832384.5289593,38969819.5054422,11722332964.016827,11493975836.7168
1,CZ,31717750655.78331,6888217573.481958,8555598925.512056,45311806.93348051,9383219584.863089,35408528755.40929
1,DE,379889342704.4925,88651874848.4255,46521886950.132545,75707877312.21896,115303558149.09305,109894092742.32457
1,DK,37300951199.07536,3875944427.1034546,7257575800.893948,,6404132237.323542,3395010527.058931
1,EE,3352497899.5478487,608972483.469471,1820513185.265304,,289843038.2898334,30963130778.298195
1,ES,176173409860.22275,94508052407.79913,48190827038.3896,,29449567168.664547,24315302205.442364
1,FI,29635966769.240887,4325075047.578037,5656227555.7669115,,7685975969.65001,22112409942.027126
1,FR,245380141051.15445,167765056897.6305,44052247819.38455,12023580252.505234,95228412986.0874,55772116337.958664
1,GR,27367376068.982285,6775006126.137146,6280183784.20664,,2909850134.0071507,1435406771.4836926
1,HR,22442137111.60037,5576474488.343553,2673935605.328562,313704981.7477567,9255082263.40821,7519422578.272962
1,HU,29564688920.831867,6074647511.499465,5392666839.704956,11189848814.995632,15314321149.974102,23729959775.05158
1,IE,27595517120.83223,4775009746.24184,4865903563.086731,,1940805404.6542184,655363532.7842107
1,IT,211498860605.2706,55750632063.69413,36796671730.63489,,50980708270.49895,35958864985.53988
1,LI,79887939.63990633,23501475.84212283,18047856.26169498,,15599826.978684997,29501251.59558385
1,LT,8537556974.131583,2034021571.9703627,4649768591.734429,1945882.943965785,13299706923.936098,36778794379.15455
1,LU,5556292355.749037,2631417435.516682,902626643.7718894,,158463303.85068238,575641278.0091766
1,LV,7234875762.947978,1439879836.2624164,2598197571.944854,3057704.2583619663,8147625664.052647,50186648977.39268
1,MD,5595315450.18322,1381358011.9389417,1618464104.8221297,,1413461052.3830972,3456984014.7434497
1,ME,1517027130.3342855,375203561.7698642,188633744.41282657,,137566044.7305673,1899383191.7650433
1,MK,4800777134.457434,1189049152.2309585,1355931092.7126377,,724603546.7916504,414933048.944896
1,NL,95261794527.2468,19257977720.986927,10286858600.45206,39737151388.828384,12597379445.081167,6579630587.739294
1,NO,40307644337.15529,9428493329.300613,3860385038.813757,,4527088518.054805,4757689873.499865
1,PL,96025648033.32806,18884757108.345165,30172380609.16672,882623976.6342946,54083282544.30368,131581182296.68726
1,PT,37356635939.71342,9775519111.949102,6721552214.108504,,4710035570.628253,4656334024.217002
1,RO,38560358718.73014,9422342155.422722,13977084952.3099,21618613582.2079,11347015477.473358,57831373413.759964
1,RU,158012913940.95535,38769347737.69024,90724042710.18413,,106559193954.22496,232844987265.8001
1,SE,57540490472.29325,4488804523.25606,8391458672.442882,,18027515274.98615,35563082530.24666
1,SI,11788357827.33771,3086558851.3980393,2327118113.0063562,,5761200510.984373,9987978664.408169
1,SK,12751612310.74165,3089746982.8805003,4076505462.4136057,706697442.0973297,2518875809.2195034,23520859174.864197
1,TR,114028702844.23386,27961318024.16946,11219566772.484203,,50518729513.74745,13370962072.804232
1,UA,73905311235.43153,18012012253.88958,22557851868.000202,,35500381466.10732,77378314209.90598
1,UK,330598756963.99927,75091825291.27077,26294496889.060154,326365437.5594998,48653584527.12695,37375332618.86267
1,YU,20525209518.112114,5017266697.659063,2145099147.7837276,13220584823.009119,20537076685.780346,9337461584.535603
