scenario,CountryCode,vkm_petrol_Carpassenger,vkm_diesel_Carpassenger,vkm_hgv_Freight,Total_IWW_TonKM,PersonKM_RailPassenger,TonKM_RailFreight
13,AL,2195906931.5816426,543200731.973068,777652022.8779111,,127184880.64489003,595787713.4158288
13,AT,43092665929.9967,27053067595.189404,6888274794.727439,7105920380.956888,15835127376.91887,24737311190.548927
13,BA,5032524697.410031,1234868913.896411,845290563.5886754,738193710.9013524,595878193.8407681,1209131015.1801453
13,BE,42893820719.8458,32552439633.2582,8407564941.320009,9596652252.800901,14114846199.612589,9804627644.447094
13,BG,27981759550.06604,6838832135.637108,3839464144.175496,2101004418.1395323,16990038096.069477,23010945961.655117
13,BY,19260050632.83333,4643152121.904209,10436972774.726261,,7487041539.465197,26774908310.377254
13,CH,39940233593.39319,5714803464.782105,3641589135.692947,38597536.83852548,11667179961.626936,11553747691.127901
13,CZ,31746345002.550537,6895398368.189413,8548885733.96152,45309590.19822203,9350595573.086737,35420645169.37717
13,DE,380001277420.71326,88677388509.89677,46534004444.86711,75671249559.882,114581171683.3628,110099439875.26207
13,DK,37314565866.74413,3879475014.525757,7244303636.337994,,6386943075.739815,3395348078.390824
13,EE,3356992340.324884,609847210.0398692,1821244219.2302823,,285421353.9031949,31001160520.596786
13,ES,176200780041.10736,94520518337.47238,48191145461.415,,29415879016.05395,24317102350.904552
13,FI,29651973461.220947,4326709737.200215,5653409790.061187,,7647210220.241215,22114790913.031605
13,FR,245398288009.48074,167777617569.3783,44044774629.975784,12011033931.701796,94903357904.40714,55831335607.70472
13,GR,27396276210.07488,6782093555.342143,6285000227.391235,,2930739034.5103602,1429375632.0651543
13,HR,22440699636.116802,5577111000.018465,2675047670.7605524,311668954.3948279,9121935813.763609,7523406505.612002
13,HU,29567235939.76051,6075585581.37206,5393097226.674212,11183188953.450504,15455960661.524254,23811455100.35689
13,IE,27573353796.500126,4771543415.359553,4867586052.406858,,1938955201.4755769,655225306.8668833
13,IT,211553386725.9177,55773403979.8925,36803538596.838776,,50910517021.892365,35851393144.2739
13,LI,80131185.97621012,23819449.93428575,17787361.21367006,,12924679.47413143,27757926.810400333
13,LT,8560030526.757809,2039737428.4997046,4630854889.577543,1945882.943965785,13140641721.065325,36859518334.24978
13,LU,5552384640.547233,2630351368.1991744,902600613.3404117,,158101332.8015368,580137972.692927
13,LV,7240921369.627095,1442297449.0764897,2579963700.1820645,3057704.2583619663,8040579203.813661,50365361346.87537
13,MD,5586247464.317762,1378948479.682253,1622815684.863761,,1410924372.5996745,3461170123.1079946
13,ME,1517512486.295401,375307240.54126084,189282616.64896578,,135430813.4221108,1899436506.6522734
13,MK,4801496280.926766,1189298392.8243308,1355349085.5109944,,736931398.4835573,414945565.0542262
13,NL,95261051399.65213,19257937002.228714,10285808352.190157,39731118751.39332,12549593262.10737,6596187061.5761
13,NO,40210474344.21883,9402986255.79302,3860878535.3219094,,4505865435.6872425,4756886350.883872
13,PL,96110642885.00824,18906847933.814846,30171046140.094658,882980368.7312077,53396949568.07495,131633994302.0217
13,PT,37360207064.03128,9777301352.75372,6719763383.590969,,4699531908.029923,4655999880.919437
13,RO,38544811226.60287,9418344082.416868,13976866386.778603,21608105712.750782,11335399164.82576,57855879562.682335
13,RU,158334781784.1156,38848545454.0488,90427722446.04399,,105158472726.45938,232859292217.27496
13,SE,57602275405.94937,4499859378.177952,8428899352.785379,,17780629025.253555,35648931046.09087
13,SI,11802652553.763952,3088479129.2376604,2330962625.0776367,,5695616133.423755,9972258551.738312
13,SK,12750698628.241991,3090709963.176848,4069063772.320793,706172974.1289495,2518080167.3981276,23524825000.099636
13,TR,114114800189.45422,27983656691.206966,11235086750.917877,,50439833625.78729,13371325101.32422
13,UA,74014085568.05977,18038447653.15919,22529347233.12355,,35323633894.721344,77277144051.40921
13,UK,330463002466.9676,75059749581.4766,26290747538.953667,326414113.0758883,48478971194.78217,37366791940.10994
13,YU,20551222848.03627,5024925525.919735,2141842404.9313114,13214603309.601398,20565890127.32549,9356520228.67871
